INFO 2024-09-16 21:10:20,540 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-16 21:10:21,048 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\connection.py first seen with mtime 1726302354.3274155
DEBUG 2024-09-16 21:10:21,051 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\amqp\abstract_channel.py first seen with mtime 1713553050.766636
DEBUG 2024-09-16 21:10:21,052 autoreload File C:\Program Files\Python312\Lib\typing.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,052 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\oauth2\urls.py first seen with mtime 1713561736.4493744
DEBUG 2024-09-16 21:10:21,053 autoreload File C:\Program Files\Python312\Lib\re\_compiler.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,054 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\__init__.py first seen with mtime 1726302355.741713
DEBUG 2024-09-16 21:10:21,054 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\pytz\lazy.py first seen with mtime 1724016238.5291758
DEBUG 2024-09-16 21:10:21,055 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1726302362.5804167
DEBUG 2024-09-16 21:10:21,056 autoreload File C:\Program Files\Python312\Lib\collections\__init__.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,057 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\yaml\error.py first seen with mtime 1712606802.1528563
DEBUG 2024-09-16 21:10:21,057 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\greenlet\_greenlet.cp312-win_amd64.pyd first seen with mtime 1713808913.57241
DEBUG 2024-09-16 21:10:21,058 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\template\engine.py first seen with mtime 1726302362.5237634
DEBUG 2024-09-16 21:10:21,059 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\pools.py first seen with mtime 1713553050.9394
DEBUG 2024-09-16 21:10:21,059 autoreload File C:\Program Files\Python312\Lib\json\encoder.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,060 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\markupsafe\__init__.py first seen with mtime 1713726262.1684103
DEBUG 2024-09-16 21:10:21,061 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\forms\forms.py first seen with mtime 1726302362.4450383
DEBUG 2024-09-16 21:10:21,062 autoreload File C:\Program Files\Python312\Lib\hashlib.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,062 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\utils\json.py first seen with mtime 1713553050.9772985
DEBUG 2024-09-16 21:10:21,063 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\simplejson\scanner.py first seen with mtime 1724015983.4925218
DEBUG 2024-09-16 21:10:21,064 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\utils\compat.py first seen with mtime 1713553050.9733088
DEBUG 2024-09-16 21:10:21,065 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\charset_normalizer\models.py first seen with mtime 1713561733.9639986
DEBUG 2024-09-16 21:10:21,065 autoreload File C:\Program Files\Python312\Lib\dis.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,066 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\coreschema\utils.py first seen with mtime 1724015980.1744564
DEBUG 2024-09-16 21:10:21,068 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\sqlparse\sql.py first seen with mtime 1726302355.7360806
DEBUG 2024-09-16 21:10:21,068 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\sqlparse\exceptions.py first seen with mtime 1726302355.7330606
DEBUG 2024-09-16 21:10:21,069 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\checks\async_checks.py first seen with mtime 1726302362.2856123
DEBUG 2024-09-16 21:10:21,070 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\utils\uuid.py first seen with mtime 1713553050.982285
DEBUG 2024-09-16 21:10:21,071 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\jinja2\defaults.py first seen with mtime 1713726263.960039
DEBUG 2024-09-16 21:10:21,071 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django_filters\fields.py first seen with mtime 1724344058.233599
DEBUG 2024-09-16 21:10:21,072 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\dateutil\parser\isoparser.py first seen with mtime 1713553050.4457483
DEBUG 2024-09-16 21:10:21,073 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\account\__init__.py first seen with mtime 1713561736.0745058
DEBUG 2024-09-16 21:10:21,074 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\util\util.py first seen with mtime 1726302354.3588865
DEBUG 2024-09-16 21:10:21,075 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\dateformat.py first seen with mtime 1726302362.559347
DEBUG 2024-09-16 21:10:21,075 autoreload File E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\news\signals.py first seen with mtime 1709233838.0
DEBUG 2024-09-16 21:10:21,076 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\sites.py first seen with mtime 1726302359.180767
DEBUG 2024-09-16 21:10:21,077 autoreload File C:\Program Files\Python312\Lib\plistlib.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,078 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\timezone.py first seen with mtime 1726302362.5936887
DEBUG 2024-09-16 21:10:21,079 autoreload File C:\Program Files\Python312\Lib\token.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,079 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\utils\imports.py first seen with mtime 1713553051.8002415
DEBUG 2024-09-16 21:10:21,080 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\utils\url.py first seen with mtime 1713553050.9812882
DEBUG 2024-09-16 21:10:21,082 autoreload File C:\Program Files\Python312\Lib\ctypes\wintypes.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,083 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\dateutil\relativedelta.py first seen with mtime 1713553050.4405098
DEBUG 2024-09-16 21:10:21,085 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\contrib\sites\requests.py first seen with mtime 1726302362.1048772
DEBUG 2024-09-16 21:10:21,086 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\paginator.py first seen with mtime 1726302362.2762032
DEBUG 2024-09-16 21:10:21,086 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\account\utils.py first seen with mtime 1713561736.085956
DEBUG 2024-09-16 21:10:21,087 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\html.py first seen with mtime 1726302362.5715022
DEBUG 2024-09-16 21:10:21,088 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\contrib\auth\backends.py first seen with mtime 1726302359.9368765
DEBUG 2024-09-16 21:10:21,088 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\serializers\python.py first seen with mtime 1726302362.3454828
DEBUG 2024-09-16 21:10:21,089 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\utils\dispatch\signal.py first seen with mtime 1713553051.8092175
DEBUG 2024-09-16 21:10:21,089 autoreload File C:\Program Files\Python312\Lib\socket.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,090 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\charset_normalizer\version.py first seen with mtime 1713561733.9656613
DEBUG 2024-09-16 21:10:21,091 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\dates.py first seen with mtime 1726302362.561053
